,Book_title,Author,ISBN-10,ISBN-13,Category,Description,Cover_link
46,Cryptocurrency Investing For Dummies,Kiana Danial ,1119533031,978-1119533030,Economics,"The ultimate guide to the world of cryptocurrencies While the cryptocurrency market is known for its volatility--and this volatility is often linked to the ever-changing regulatory environment of the industry--the entire cryptocurrency market is expected to reach a total value of 1 trillion this year. If you want to get in on the action, this book shows you how. Cryptocurrency Investing For Dummies offers trusted guidance on how to make money trading and investing in the top 200 digital currencies, no matter what the market sentiment. You'll find out how to navigate the new digital finance landscape and choose the right cryptocurrency for different situations with the help of real-world examples that show you how to maximize your cryptocurrency wallet. Understand how the cryptocurrency market works Find best practices for choosing the right cryptocurrency Explore new financial opportunities Choose the right platforms to make the best investments This book explores the hot topics and market moving events affecting cryptocurrency prices and shows you how to develop the smartest investment strategies based on your unique risk tolerance.","https://images-na.ssl-images-amazon.com/images/I/51l3bNmUiSL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
47,Thinking in Systems: A Primer,"Donella H. Meadows, Diana Wright",1603580557,978-1603580557,Economics,"In the years following her role as the lead author of the international bestseller, ""Limits to Growth""athe first book to show the consequences of unchecked growth on a finite planeta Donella Meadows remained a pioneer of environmental and social analysis until her untimely death in 2001.Meadowsa newly released manuscript, ""Thinking in Systems,"" is a concise and crucial book offering insight for problem solving on scales ranging from the personal to the global. Edited by the Sustainability Instituteas Diana Wright, this essential primer brings systems thinking out of the realm of computers and equations and into the tangible world, showing readers how to develop the systems-thinking skills that thought leaders across the globe consider critical for 21st-century life.Some of the biggest problems facing the worldawar, hunger, poverty, and environmental degradationaare essentially system failures. They cannot be solved by fixing one piece in isolation from the others, because even seemingly minor details have enormous power to undermine the best efforts of too-narrow thinking.While readers will learn the conceptual tools and methods of systems thinking, the heart of the book is grander than methodology. Donella Meadows was known as much for nurturing positive outcomes as she was for delving into the science behind global dilemmas. She reminds readers to pay attention to what is important, not just what is quantifiable, to stay humble, and to stay a learner.In a world growing ever more complicated, crowded, and interdependent, ""Thinking in Systems"" helps readers avoid confusion and helplessness, the first step toward finding proactive and effective solutions.","https://images-na.ssl-images-amazon.com/images/I/51frZKhRiIL._SX330_BO1,204,203,200_.jpg"
48,Economics in One Lesson: The Shortest and Surest Way to Understand Basic Economics,Henry Hazlitt,517548232,978-0517548233,Economics,"With over a million copies sold, Economics in One Lesson is an essential guide to the basics of economic theory. A fundamental influence on modern libertarianism, Hazlitt defends capitalism and the free market from economic myths that persist to this day.
Considered among the leading economic thinkers of the ""Austrian School,"" which includes Carl Menger, Ludwig von Mises, Friedrich (F.A.) Hayek, and others, Henry Hazlitt (1894-1993), was a libertarian philosopher, an economist, and a journalist. He was the founding vice-president of the Foundation for Economic Education and an early editor of The Freeman magazine, an influential libertarian publication. Hazlitt wrote Economics in One Lesson, his seminal work, in 1946. Concise and instructive, it is also deceptively prescient and far-reaching in its efforts to dissemble economic fallacies that are so prevalent they have almost become a new orthodoxy.
Economic commentators across the political spectrum have credited Hazlitt with foreseeing the collapse of the global economy which occurred more than 50 years after the initial publication of Economics in One Lesson. Hazlitt's focus on non-governmental solutions, strong -- and strongly reasoned -- anti-deficit position, and general emphasis on free markets, economic liberty of individuals, and the dangers of government intervention make Economics in One Lesson every bit as relevant and valuable today as it has been since publication.","https://images-na.ssl-images-amazon.com/images/I/41uJ6cGAprL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
49,A Conflict of Visions: Ideological Origins of Political Struggles,Thomas Sowell,465002056,978-0465002054,Economics,"In this classic work, Thomas Sowell analyzes the two competing visions that shape our debates about the nature of reason, justice, equality, and power: the “constrained” vision, which sees human nature as unchanging and selfish, and the “unconstrained” vision, in which human nature is malleable and perfectible. He describes how these two radically opposed views have manifested themselves in the political controversies of the past two centuries, including such contemporary issues as welfare reform, social justice, and crime. Updated to include sweeping political changes since its first publication in 1987, this revised edition of A Conflict of Visions offers a convincing case that ethical and policy disputes circle around the disparity between both outlooks. ","https://images-na.ssl-images-amazon.com/images/I/41lMdS8KJUL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
50,"Economic Facts and Fallacies, 2nd edition",Thomas Sowell,465022030,978-0465022038,Economics,"Economic Facts and Fallacies exposes some of the most popular fallacies about economic issues-and does so in a lively manner and without requiring any prior knowledge of economics by the reader. These include many beliefs widely disseminated in the media and by politicians, such as mistaken ideas about urban problems, income differences, male-female economic differences, as well as economics fallacies about academia, about race, and about Third World countries. One of the themes of Economic Facts and Fallacies is that fallacies are not simply crazy ideas but in fact have a certain plausibility that gives them their staying power-and makes careful examination of their flaws both necessary and important, as well as sometimes humorous. Written in the easy-to-follow style of the author's Basic Economics, this latest book is able to go into greater depth, with real world examples, on specific issues. ","https://images-na.ssl-images-amazon.com/images/I/41jCPcKojZS._SX331_BO1,204,203,200_.jpg"
51,The Authoritarian Moment: How the Left Weaponized America's Institutions Against Dissent,Ben Shapiro,63001829,978-0063001824,Law,"How far are Americans willing to go to force each other to fall in line? According to the establishment media, the intelligentsia, and our political chattering class, the greatest threat to American freedom lies in right-wing authoritarianism. We've heard that some 75 million Americans who voted for Donald Trump represent the rise of American fascism; that conservatives have allowed authoritarianism to bloom in their midst, creating a grave danger for the republic. But what if the true authoritarian threat to America doesn't come from the political right, but from the supposedly anti-fascist left? There are certainly totalitarians on the political Right. But statistically, they represent a fringe movement with little institutional clout. The authoritarian left, meanwhile, is ascendant in nearly every area of American life. A small number of leftists-college-educated, coastal, and uncompromising-have not just taken over the Democratic Party but our corporations, our universities, our scientific establishment, our cultural institutions. And they have used their newfound power to silence their opposition. The authoritarian Left is aggressively insistent that everyone must conform to its values, demanding submission and conformity. The dogmatic Left is obsessed with putting people in categories and changing human nature. Everyone who opposes it must be destroyed. Ben Shapiro looks at everything from pop culture to the Frankfurt school, social media to the Founding Fathers, to explain the origins of our turn to tyranny, and why so many seem blind to it. More than a catalog of bad actors and intemperate acts, The Authoritarian Moment lays bare the intolerance and rigidity creeping into all American ideology - and prescribes the solution to ending the authoritarianism that threatens our future.","https://images-na.ssl-images-amazon.com/images/I/41Axwjh22KS._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
52,I Alone Can Fix It: Donald J. Trump's Catastrophic Final Year,"Carol Leonnig, Philip Rucker",593298942,978-0593503874,Politics & Social Science,"Focused on Trump and the key players around him—the doctors, generals, senior advisers, and Trump family members— Rucker and Leonnig provide a forensic account of the most devastating year in a presidency like no other. Their sources were in the room as time and time again Trump put his personal gain ahead of the good of the country. These witnesses to history tell the story of him longing to deploy the military to the streets of American cities to crush the protest movement in the wake of the killing of George Floyd, all to bolster his image of strength ahead of the election. These sources saw firsthand his refusal to take the threat of the coronavirus seriously—even to the point of allowing himself and those around him to be infected. This is a story of a nation sabotaged—economically, medically, and politically—by its own leader, culminating with a groundbreaking, minute-by-minute account of exactly what went on in the Capitol building on January 6, as Trump’s supporters so easily breached the most sacred halls of American democracy, and how the president reacted. With unparalleled access, Rucker and Leonnig explain and expose exactly who enabled—and who foiled—Trump as he sought desperately to cling to power.

A classic and heart-racing work of investigative reporting, this book is destined to be read and studied by citizens and historians alike for decades to come.","https://images-na.ssl-images-amazon.com/images/I/4119dhcL4vS._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
53,Applied Math for Wastewater Plant Operators - Workbook 1st Edition,Joanne K. Price ,877628106,978-0877628101,Mathematics,"This workbook is a companion to Applied Math for Wastewater Plant Operators (ISBN: 9780877628095) and part of the Applied Math for Wastewater Plant Operators Set (ISBN: 9781566769891). It contains self-teaching guides for all wastewater treatment calculations, skill checks, hundreds of worked examples, and practice problems.","https://images-na.ssl-images-amazon.com/images/I/41ZbTR67PQL._SX385_BO1,204,203,200_.jpg"
54,Machine Learning: An Mathematics Introduction ,Paul Wilmott,1916081606,978-1916081604,Mathematics,"Machine Learning: An Mathematics Introduction covers the essential mathematics behind all of the following topics

K Nearest Neighbours, K Means Clustering, Naïve Bayes Classifier, Regression Methods, Support Vector Machines, Self-Organizing Maps
Decision Trees, Neural Networks, Reinforcement Learning

The book includes many real-world examples from a variety of fields including:  finance (volatility modelling),
economics (interest rates, inflation and GDP), politics (classifying politicians according to their voting records, and using speeches to determine whether a politician is left or right wing), biology (recognising flower varieties, and using heights and weights of adults to determine gender), sociology (classifying locations according to crime statistics), gambling (fruit machines and Blackjack), business (classifying the members of his own website to see who will subscribe to his magazine!)

Paul Wilmott brings three decades of experience in mathematics education, and his inimitable style, to the hottest of subjects. This book is an accessible introduction for anyone who wants to understand the foundations but also wants to “get to the meat without having to eat too many vegetables.”","https://images-na.ssl-images-amazon.com/images/I/51UwyAPPVlL._SX332_BO1,204,203,200_.jpg"
55,"Workplace Skills: Mathematics, Student Workbook (WORKFORCE) 1st Edition",Contemporary,76574814,978-0076574810,Mathematics,"Provides review and practice opportunities for using mathematical reasoning, critical thinking, and the problem-solving skills that are required in today's workplace.","https://images-na.ssl-images-amazon.com/images/I/517DBSmHUkL._SX382_BO1,204,203,200_.jpg"
56,The Princeton Companion to Mathematics Illustrated Edition,Nicholas Higham,691150397,978-0691150390,Mathematics,"This is the most authoritative and accessible single-volume reference book on Mathematics. Featuring numerous entries by leading experts and organized thematically, it introduces readers to Mathematics and its uses; explains key concepts; describes important equations, laws, and functions; looks at exciting areas of research; covers modeling and simulation; explores areas of application; and more. Modeled on the popular Princeton Companion to Mathematics , this volume is an indispensable resource for undergraduate and graduate students, researchers, and practitioners in other disciplines seeking a user-friendly reference book on Mathematics. Features nearly 200 entries organized thematically and written by an international team of distinguished contributors Presents the major ideas and branches of Mathematics in a clear and accessible way Explains important mathematical concepts, methods, equations, and applications Introduces the language of Mathematics and the goals of applied mathematical research Gives a wide range of examples of mathematical modeling Covers continuum mechanics, dynamical systems, numerical analysis, discrete and combinatorial mathematics, mathematical physics, and much more Explores the connections between Mathematics and other disciplines Includes suggestions for further reading, cross-references, and a comprehensive index","https://images-na.ssl-images-amazon.com/images/I/61Ukzio4fOL._SX398_BO1,204,203,200_.jpg"
57,Finite Mathematics and Applied Calculus 7th Edition,"Stefan Waner, Steven Costenoble",1337274208,978-1337274203,Mathematics,"Waner and Costenoble's FINITE MATHEMATICS AND APPLIED CALCULUS, Seventh Edition, helps your students see the relevance of mathematics in their lives. A large number of the applications are based on real, referenced data from business, economics, and the life and social sciences. Spreadsheet and TI Graphing Calculator instruction appears throughout the text, supplemented by the new MindTap course, WebAssign course, and an acclaimed author website. The end-of-chapter Technology Notes and Technology Guides are optional, allowing you to include in your course precisely the amount of technology instruction you choose. Praised for its accuracy and readability, FINITE MATHEMATICS AND APPLIED CALCULUS is perfect for all types of teaching and learning styles and support","https://images-na.ssl-images-amazon.com/images/I/61yMd8iBjeL._SX398_BO1,204,203,200_.jpg"
58,"Business Made Simple: 60 Days to Master Leadership, Sales, Marketing, Execution, Management, Personal Productivity and More",Donald Miller,1400203813,978-1400203819,Business,"Most people enter their professional careers not understanding how to grow a business. At times, this makes them feel lost, or worse, like a fraud pretending to know what they’re doing.

It’s hard to be successful without a clear understanding of how business works. These 60 daily readings are crucial for any professional or business owner who wants to take their career to the next level.

New York Times and Wall Street Journal bestselling author, Donald Miller knows that business is more than just a good idea made profitable – it’s a system of unspoken rules, rarely taught by MBA schools. If you are attempting to profitably grow your business or career, you need elite business knowledge—knowledge that creates tangible value.

Even if you had the time, access, or money to attend a Top 20 business school, you would still be missing the practical knowledge that propels the best and brightest forward. However, there is another way to achieve this insider skill development, which can both drastically improve your career earnings and the satisfaction of achieving your goals.

Donald Miller learned how to rise to the top using the principles he shares in this book. He wrote Business Made Simple to teach others what it takes to grow your career and create a company that is healthy and profitable.

These short, daily entries and accompanying videos will add enormous value to your business and the organization you work for. In this sixty-day guide, readers will be introduced to the nine areas where truly successful leaders and their businesses excel:

Character: What kind of person succeeds in business?
Leadership: How do you unite a team around a mission?
Personal Productivity: How can you get more done in less time?
Messaging: Why aren’t customers paying more attention?
Marketing: How do I build a sales funnel?
Business Strategy: How does a business really work?
Execution: How can we get things done?
Sales: How do I close more sales?
Management: What does a good manager do?                                                                                                                                                                                                                   
Business Made Simple is the must-have guide for anyone who feels lost or overwhelmed by the modern business climate, even if they attended business school. Learn what the most successful business leaders have known for years through the simple but effective secrets shared in these pages.","https://images-na.ssl-images-amazon.com/images/I/41gxzYX-iGL._SX322_BO1,204,203,200_.jpg"
59,Business Plan Template And Example: How To Write A Business Plan: Business Planning Made Simple,Alex Genadinik,1519741782,978-1519741783,Business,"This book is now used by the University of Kentucky entrepreneurship program. This book will give you a fresh and innovative way to write a business plan that will help you: - Complete your business plan faster - Avoid confusion and frustration - Focus on the core of your business and create more effective business strategies To help you learn the business planning process from the ground up, this book gets you started with a very basic business plan and helps you expand it as you make your way through the book. This way, you have less confusion and frustration and are more likely to finish your business plan faster and have it be better. This way you get a business plan template together practical explanations and an example. So whatever your learning style might be, this book has a high chance of being effective for you. If business planning seems to you complex and scary, this book will make it simple for you. It is written in simple and clear language to help you get started and create a great business plan. So what are you waiting for? Get this book now, and start creating a great business plan for your business today. Also recently added in the last update of this book is a business plan sample since many people commented that they wanted a business plan example. Although for my taste as an entrepreneur, I rather give you lots of great business planning strategies and theory that you can use in the real world instead of having a business plan template or workbook to write your business plan from. After all, a business plan is just a document. But to make your business a success, you will have to do it in the real world. So when you try to figure out how to create a business plan, don't just focus on the business plan document. Instead, focus on a plan for the real world with actionable and effective strategies. Get the book now, and start planning your business today.","https://images-na.ssl-images-amazon.com/images/I/51pHMXAg8HL._SX331_BO1,204,203,200_.jpg"
60,How to Write a Business Plan Fourteenth Edition,,1413325459,978-1413325454,Business,"Step-by-step advice on preparing a business plan

You need a sound business plan to start a business or raise money to expand an existing one. For over 30 years, How to Write a Business Plan has helped fledgling entrepreneurs—from small service businesses and retailers to large manufacturing firms—write winning plans and get needed financing.

This bestselling book contains clear step-by-step instructions and forms to put together a convincing business plan with realistic financial projections, effective marketing strategies, and overall business goals. You’ll learn how to: 

figure out if your business idea will make money, determine and forecast cash flow, create profit and loss forecasts, prepare marketing and personnel plans, find potential sources of financing, and present your well-organized plan to lenders and other backers, and learn about best practices for raising money, from SBA loans to equity crowdfunding. ","https://images-na.ssl-images-amazon.com/images/I/51LgBkP9dnL._SX404_BO1,204,203,200_.jpg"
61,Mind Your Business: A Workbook to Grow Your Creative Passion Into a Full-time Gig,Ilana Griffo,1944515720,978-1944515720,Business,"Want to start your own business, but not sure where to begin?

Mind Your Business is the ONLY book that teaches you everything you need to know about how to build a successful business from scratch. From developing your brand to designing products to identifying your legal and tax needs, this comprehensive guide will take you through every step of the process and help you create a unique and customized roadmap for your business. Mind Your Business is for aspiring entrepreneurs who are driven, ambitious, creative, and determined to build a business and life they love.

Author Ilana Griffo shares the formula that turned her creative hobby into a six-figure design studio. From initial planning to long-term business strategy, Mind Your Business includes:
   • Insider tips from successful entrepreneurs 
   • Advice to identify your ideal market and customer 
   • Legal guidelines to protect your ass(ets) 
   • Budget and forecast tools 
   • How to avoid the pitfalls that doom most startups 
   • Guidance on how to scale and grow 
   • Suggestions on how to dominate online platforms 
   • Tips to beat your competitors with SEO and social media 

Mind Your Business puts you in the driver’s seat. It will help you navigate the journey of starting your first business and take your ambitions and ideas from wishful thinking to successful reality.","https://images-na.ssl-images-amazon.com/images/I/51RRbuCAcXL._SX365_BO1,204,203,200_.jpg"
62,Start Up: Insider Secrets on Building Your Business Credit ,Herman Dolce Jr. ,1976803594,978-1976803598,Business,"The book will teach how to build credit for you business that is separate from your social security number. After reading this book you will have the key foundation, Insider secrets on how how to gain credit for your business that will help you fund your dream. You will not be relying on the banks approving your loans in your personal name. You will have the keys to the kingdom in regards to getting funding for your business with no personal liability to your name. ","https://images-na.ssl-images-amazon.com/images/I/51mrHg77ycL._SX331_BO1,204,203,200_.jpg"
63,Computer Networks: A Systems Approach (The Morgan Kaufmann Series in Networking) 6th Edition,"Larry L. Peterson, Bruce S. Davie",128182008,978-0128182000,Networking & Cloud Computing,"Computer Networks: A Systems Approach, Sixth Edition, explores the key principles of Networking & Cloud Computing, using real world examples from network and protocol design. Using the Internet as the primary example, this best-selling classic textbook explains various protocols and networking technologies. The systems-oriented approach encourages students to think about how individual network components fit into a larger, complex system of interactions. This sixth edition contains completely updated content with expanded coverage of the topics of utmost importance to networking professionals and students, as provided by numerous contributors via a unique open source model developed jointly by the authors and publisher.
Hallmark features of the book are retained, including chapter problem statements, which introduce issues to be examined; shaded sidebars that elaborate on a topic or introduce a related advanced topic; What’s Next? discussions that deal with emerging issues in research, the commercial world, or society; and exercises. This book is intended primarily for graduate or upper-division undergraduate classes in Networking & Cloud Computing. It will also be useful for industry professionals retraining for network-related assignments, as well as for network practitioners seeking to understand the workings of network protocols and the big picture of networking. 

*Features completely updated content with expanded coverage of the topics of utmost importance to students and networking professionals
*Includes coverage of WiFi and cellular communication, security and cryptography, multimedia, and other applications
*Includes expanded guidelines for instructors who prefer to teach networking using a ""top-down"" approach
*Features chapter problem statements which introduce issues to be examined and shaded sidebars that elaborate on topics and introduce related ones
","https://images-na.ssl-images-amazon.com/images/I/5139UsCTBeL._SX403_BO1,204,203,200_.jpg"
64,Networking Fundamentals: Develop the networking skills required to pass the Microsoft MTA Networking Fundamentals Exam 98-366,Gordon Davies ,1838643508,978-1838643508,Networking & Cloud Computing,"Become well-versed with basic networking concepts such as routing, switching, and subnetting, and prepare for the Microsoft 98-366 exam Key Features Build a strong foundation in networking concepts Explore both the hardware and software aspects of networking Prepare by taking mock tests with up-to-date exam questions Book Description A network is a collection of computers, servers, mobile devices, or other computing devices connected for sharing data. This book will help you become well versed in basic networking concepts and prepare to pass Microsoft's MTA Networking Fundamentals Exam 98-366. Following Microsoft's official syllabus, the book starts by covering network infrastructures to help you differentiate intranets, internets, and extranets, and learn about network topologies. You'll then get up to date with common network hardware devices such as routers and switches and the media types used to connect them together. As you advance, the book will take you through different protocols and services and the requirements to follow a standardized approach to networking. You'll get to grips with the OSI and TCP/IP models as well as IPv4 and IPv6. The book also shows you how to recall IP addresses through name resolution. Finally, you'll be able to practice everything you've learned and take the exam confidently with the help of mock tests. By the end of this networking book, you'll have developed a strong foundation in the essential networking concepts needed to pass Exam 98-366. What you will learn Things you will learn: Become well versed in networking topologies and concepts Understand network infrastructures such as intranets, extranets, and more Explore network switches, routers, and other network hardware devices Get to grips with different network protocols and models such as OSI and TCP/IP Work with a variety of network services such as DHCP, NAT, firewalls, and remote access Apply networking concepts in different real-world scenarios Who this book is for If you're new to the IT industry or simply want to gain a thorough understanding of networking, this book is for you. A basic understanding of the Windows operating system and your network environment will be helpful.
Buy Used
Out of stock
Buy New
63.37 USD
May Ship Separately
All Available Copies","https://images-na.ssl-images-amazon.com/images/I/51RO5NCY2OL._SX404_BO1,204,203,200_.jpg"
65,Networking For Dummies 12th Edition,Doug Lowe,1119648505,978-1119648505,Networking & Cloud Computing,"Set up a secure network at home or the office
Fully revised to cover Windows 10 and Windows Server 2019, this new edition of the trusted Networking For Dummies helps both beginning network administrators and home users to set up and maintain a network. Updated coverage of broadband and wireless technologies, as well as storage and back-up procedures, ensures that you’ll learn how to build a wired or wireless network, secure and optimize it, troubleshoot problems, and much more.

From connecting to the Internet and setting up a wireless network to solving networking problems and backing up your data—this #1 bestselling guide covers it all.

Build a wired or wireless network
Secure and optimize your network
Set up a server and manage Windows user accounts
Use the cloud—safely
Written by a seasoned technology author—and jam-packed with tons of helpful step-by-step instructions—this is the book network administrators and everyday computer users will turn to again and again.","https://images-na.ssl-images-amazon.com/images/I/51Wwe0Ybe3L._SX397_BO1,204,203,200_.jpg"
66,"Cloud Computing For Dummies, 2nd Edition 2nd Edition","Judith S. Hurwitz, Daniel Kirsch",1119546656,978-1119546658,Networking & Cloud Computing,"Get your head—and your business—into the Cloud
Cloud computing is no longer just a clever new toy in the world of IT infrastructure. Despite the nebulous name, it’s become a real and important part of our information architecture—and tech professionals who ignore it or try to skim their way through risk falling behind rapidly. The new edition of Cloud Computing For Dummies gets you up to speed fast, clarifying your Cloud options, showing you where can save you time and money, giving you ways to frame your decisions, and helping you avoid weeks of research.

In a friendly, easy-to-follow style, Cloud Computing For Dummies, 2nd Edition demystifies the Cloud’s virtual landscape, breaking up a complex and multi-layered topic into simple explanations that will make the various benefits clear and ultimately guide you toward making the most appropriate choices for your organization.

Know the business case for the Cloud
Understand hybrid and multi-cloud options
Develop your Cloud strategy
Get tips on best practices
The Cloud is everywhere, and it can deliver amazing benefits to our lives and businesses. Get a much clearer vision of exactly how with Cloud Computing For Dummies—and you’ll begin to see that the sky really is the limit!","https://images-na.ssl-images-amazon.com/images/I/513t0E2ZWiL._SX397_BO1,204,203,200_.jpg"
67,"Networking for Beginners: An Easy Guide to Learning Computer Network Basics. Take Your First Step, Master Wireless Technology, the OSI Model, IP Subnetting, Routing Protocols and Internet Essentials",Russell Scott,1801091730,978-1801091732,Networking & Cloud Computing,"Do you want to find out how a computer network works? Do you want to understand what it all takes to keep a home or office network up and running? This book is all you need! It will help you navigate your way to becoming proficient with network fundamentals and technology.

When the first computers were built during the Second World War, they were expensive and isolated. However, after about twenty years, as their prices gradually decreased, the first experiments began to connect computers together. At the time, sharing them over a long distance was an interesting idea.

Computers and the Internet have changed this world and our lifestyle forever. We just need to touch a small button and within a fraction of a second, we can make a call, send a file or video message. The major factor that lies behind this advanced technology is none other than computer network. That's why it's important to know how it works!


Networking for Beginners covers the following topics:

Networking Basics - This chapter considers the needs of a real beginner in Networking & Cloud Computing and covers the following crucial topics: definition of Networking & Cloud Computing, types of computer networks, network topologies, and network architecture.

Network Hardware - A comprehensive discussion on different network components that include routers, hubs, switches, etc.

Network Cabling - This chapter discusses the different cabling standards include coaxial, fiber optic cable and twisted-pair copper cable.

Wireless Networking - Fundamental technicalities of wireless technology that is of great significance to the entire Networking & Cloud Computing discipline. This chapter offers important information on how to enjoy the benefits of Wi-Fi technology and how to set up and configure a computer for wireless connectivity.

IP Addressing - This chapter pays great attention to the basics of IP addressing, and the different number systems (binary, decimal, and hexadecimal)

IP Subnetting - Introduction to concepts of subnetting.

Network Protocols - Various protocols of the TCP/IP suite.

Internet Essentials - Different terminologies regarding the Internet, the worldwide web, and history of the Internet.

Virtualization in cloud computing - Concept of virtualization, its relevance in Networking & Cloud Computing, and an examination of cloud services.

Network Troubleshooting - This chapter considers troubleshooting as a top management function.

NETWORKING FOR BEGINNERS is an easy-to-read book for anyone hungry for Networking & Cloud Computing knowledge. The language used is simple, and even the very technical terms that pop from time to time have been explained in a way that is easy to understand.","https://images-na.ssl-images-amazon.com/images/I/51OxmzfQXuL._SX331_BO1,204,203,200_.jpg"
68,Narrative Economics: How Stories Go Viral and Drive Major Economic Events,Robert J. Shiller,691210268,978-0691210261,Economics,"From Nobel Prize–winning economist and New York Times bestselling author Robert Shiller, a groundbreaking account of how stories help drive economic events—and why financial panics can spread like epidemic viruses

Stories people tell—about financial confidence or panic, housing booms, or Bitcoin—can go viral and powerfully affect economies, but such narratives have traditionally been ignored in economics and finance because they seem anecdotal and unscientific. In this groundbreaking book, Robert Shiller explains why we ignore these stories at our peril—and how we can begin to take them seriously. Using a rich array of examples and data, Shiller argues that studying popular stories that influence individual and collective economic behavior—what he calls ""narrative economics""—may vastly improve our ability to predict, prepare for, and lessen the damage of financial crises and other major economic events. The result is nothing less than a new way to think about the economy, economic change, and economics. In a new preface, Shiller reflects on some of the challenges facing narrative economics, discusses the connection between disease epidemics and economic epidemics, and suggests why epidemiology may hold lessons for fighting economic contagions.","https://images-na.ssl-images-amazon.com/images/I/41MlY5Ak1aL._SX329_BO1,204,203,200_.jpg"
69,Economics in One Virus: An Introduction to Economic Reasoning through COVID-19,Ryan A. Bourne,1952223067,978-1952223068,Economics,"""A truly excellent book that explains where our pandemic response went wrong, and how we can understand those failings using the tools of economics."" —Tyler Cowen, coauthor of the blog Marginal RevolutionHave you ever stopped to wonder why hand sanitizer was missing from your pharmacy for months after the COVID-19 pandemic hit? Why some employers and employees were arguing over workers being re-hired during the first COVID-19 lockdown? Why passenger airlines were able to get their own ring-fenced bailout from Congress? Economics in One Virus answers all these pandemic-related questions and many more, drawing on the dramatic events of 2020 to bring to life some of the most important principles of economic thought. Packed with supporting data and the best new academic evidence, this book offers a crash-course in economics analysis through the applied case-study of the COVID-19 pandemic, to help explain everything from why the U.S. was underprepared for the pandemic to how economists go about valuing the lives saved from lockdowns.After completing this highly readable, fast-paced, and provocative virus-themed economic tour, readers will be able to make much better sense of the events that they've lived through. Perhaps more importantly, the insights on everything from the role of the price mechanism to trade and specialization will grant even those wholly new to economics the skills to think like an economist in their own lives and when evaluating the choices of their political leaders.","https://images-na.ssl-images-amazon.com/images/I/41NBwqHRZ2L._SX331_BO1,204,203,200_.jpg"
70,Layered Money: From Gold and Dollars to Bitcoin and Central Bank Digital Currencies,Nik Bhatia,1736110527,978-1736110522,Economics,"In this fascinating deep dive into the evolution of monetary systems around the globe, Nik Bhatia takes us into the origins of how money has evolved to function in a ""layered"" manner. Using gold as an example of this term, he traces the layers of this ancient currency from raw mined material, to gold coins, and finally to bank-issued gold certificates. In a groundbreaking manner, Bhatia offers a similar paradigm for the evolution of digital currencies. Bhatia's analysis begins in Renaissance Florence with the gold Florin coin and a burgeoning banking culture, continues with the evolution of central banking, and concludes with a vision for the future of our international monetary system. As central banks around the world prepare to launch their own crypto-competitors, Bhatia illustrates how the invention of Bitcoin created a seismic shift in money and merged the monetary and cryptography sciences. His unique analysis of ""layered money"" illuminates money markets for the general reader and shows how Bitcoin is becoming a trusted global currency. Readers will come away with an understanding of the mechanics of our financial system, why the dollar is deeply entrenched despite its state of disrepair, and how Central Bank Digital Currencies (CBDCs) and cryptocurrencies will interact in our new monetary future.","https://images-na.ssl-images-amazon.com/images/I/51Nx2W0cQML._SX322_BO1,204,203,200_.jpg"
71,Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist,Kate Raworth,1603587969,978-1603587969,Economics,"A Financial Times ""Best Book of 2017: Economics"" 800-CEO-Read ""Best Business Book of 2017: Current Events & Public Affairs"" Economics is the mother tongue of public policy. It dominates our decision-making for the future, guides multi-billion-dollar investments, and shapes our responses to climate change, inequality, and other environmental and social challenges that define our times. Pity then, or more like disaster, that its fundamental ideas are centuries out of date yet are still taught in college courses worldwide and still used to address critical issues in government and business alike. That's why it is time, says renegade economist Kate Raworth, to revise our economic thinking for the 21st century. In Doughnut Economics, she sets out seven key ways to fundamentally reframe our understanding of what economics is and does. Along the way, she points out how we can break our addiction to growth; redesign money, finance, and business to be in service to people; and create economies that are regenerative and distributive by design. Named after the now-iconic ""doughnut"" image that Raworth first drew to depict a sweet spot of human prosperity (an image that appealed to the Occupy Movement, the United Nations, eco-activists, and business leaders alike), Doughnut Economics offers a radically new compass for guiding global development, government policy, and corporate strategy, and sets new standards for what economic success looks like. Raworth handpicks the best emergent ideas--from ecological, behavioral, feminist, and institutional economics to complexity thinking and Earth-systems science--to address this question: How can we turn economies that need to grow, whether or not they make us thrive, into economies that make us thrive, whether or not they grow? Simple, playful, and eloquent, Doughnut Economics offers game-changing analysis and inspiration for a new generation of economic thinkers.","https://images-na.ssl-images-amazon.com/images/I/51O2MPGym9L._SX331_BO1,204,203,200_.jpg"
