Book_title,Author,ISBN-10,ISBN-13,Category,Description,Cover_link
Naked Economics: Undressing the Dismal Science,"Charles Wheelan, Burton G. Malkiel (Foreword by)",393356493,978-0393356496,Economics,"""Clear, concise, informative, [and] witty."" —Chicago Tribune
At last! A new edition of the economics book that won’t put you to sleep. In fact, you won’t be able to put this bestseller down. In our challenging economic climate, this perennial favorite of students and general readers is more than a good read, it’s a necessary investment—with a blessedly sure rate of return. This revised and updated edition includes commentary on hot topics such as automation, trade, income inequality, and America’s rising debt. Ten years after the financial crisis, Naked Economics examines how policymakers managed the worst economic crisis since the Great Depression.

Demystifying buzzwords, laying bare the truths behind oft-quoted numbers, and answering the questions you were always too embarrassed to ask, the breezy Naked Economics gives you the tools to engage with pleasure and confidence in the deeply relevant, not so dismal science.","https://images-na.ssl-images-amazon.com/images/I/41XQP7KAgoL._SX331_BO1,204,203,200_.jpg"
The Millionaire Real Estate Agent: It's Not About the Money It's About Being the Best You Can Be,"Gary Keller, Dave Jenks, Jay Papasan",71444041,978-0071444040,Economics,"Take your real estate career to the highest level!

""Whether you are just getting started or a veteran in the business, ""The Millionaire Real Estate Agent"" is the step-by-step handbook for seeking excellence in your profession and in your life.""
--Mark Victor Hansen, cocreator, #1"" New York Times"" bestselling series ""Chicken Soup for the Soul""

""This book presents a new paradigm for real estate and should be required reading for real estate professionals everywhere.""
--Robert T. Kiyosaki, ""New York Times"" bestselling author of ""Rich Dad, Poor Dad""

""The Millionaire Real Estate Agent ""explains: Three concepts that drive production Economic, organizational, and lead generation models that are the foundations of any high-achiever's business How to ""Earn a Million,"" ""Net a Million,"" and ""Receive a Million"" in annual income","https://images-na.ssl-images-amazon.com/images/I/51WtrF613xL._SX376_BO1,204,203,200_.jpg"
The Price of Tomorrow: Why Deflation is the Key to an Abundant Future,Jeff Booth,1999257405,978-1999257408,Economics,"""Your world view will transform instantly"" - SALIM ISMAIL, Bestselling Author of Exponential Organizations

We live in an extraordinary time. Technological advances are happening at a rate faster than our ability to understand them, and in a world that moves faster than we can imagine, we cannot afford to stand still. These advances bring efficiency and abundance—and they are profoundly deflationary.

Our economic systems were built for a pre-technology era when labour and capital were inextricably linked, an era that counted on growth and inflation, an era where we made money from inefficiency. That era is over, but we keep on pretending that those economic systems still work.

The only thing driving growth in the world today is easy credit, which is being created at a pace that is hard to comprehend—and with it, debt that we will never be able to pay back. As we try to artificially drive an economic system built for the past, we are creating more than just economic trouble.

On our current path, our world will become profoundly more polarized and unsafe. We need to build a new framework for our local and global economies, and soon; we need to accept deflation and embrace the abundance it can bring. Otherwise, the same technology that has the power to bring abundance to us and our world will instead destroy it.

In this extraordinary contrarian book, Jeff Booth, a leading mind and CEO in e-commerce and technology for 20 years, details the technological and economic realities shaping our present and our future, and the choices we face as we go forward—a potentially alarming, but deeply hopeful situation.","https://images-na.ssl-images-amazon.com/images/I/41C7TkN5KeL._SX331_BO1,204,203,200_.jpg"
Manufacturing Consent: The Political Economy of the Mass Media,"Edward S. Herman, Noam Chomsky",375714499,978-0375714498,Economics,"In this pathbreaking work, now with a new introduction, Edward S. Herman and Noam Chomsky show that, contrary to the usual image of the news media as cantankerous, obstinate, and ubiquitous in their search for truth and defense of justice, in their actual practice they defend the economic, social, and political agendas of the privileged groups that dominate domestic society, the state, and the global order.
Based on a series of case studies--including the media's dichotomous treatment of ""worthy"" versus ""unworthy"" victims, ""legitimizing"" and ""meaningless"" Third World elections, and devastating critiques of media coverage of the U.S. wars against Indochina--Herman and Chomsky draw on decades of criticism and research to propose a Propaganda Model to explain the media's behavior and performance. Their new introduction updates the Propaganda Model and the earlier case studies, and it discusses several other applications. These include the manner in which the media covered the passage of the North American Free Trade Agreement and subsequent Mexican financial meltdown of 1994-1995, the media's handling of the protests against the World Trade Organization, World Bank, and International Monetary Fund in 1999 and 2000, and the media's treatment of the chemical industry and its regulation. What emerges from this work is a powerful assessment of how propagandistic the U.S. mass media are, how they systematically fail to live up to their self-image as providers of the kind of information that people need to make sense of the world, and how we can understand their function in a radically new way.","https://images-na.ssl-images-amazon.com/images/I/514vU-m6ulL._SX329_BO1,204,203,200_.jpg"
Field and Wave Electromagnetics 2nd Edition,David Cheng,201128195,978-0201128192,Engineering,"Back Cover Field and Wave Electromagnetics, Second Edition features many examples of practical applications to give students an excellent physical -- as well as mathematical -- understanding of important concepts. These include applications drawn from important new areas of technology such as optical fibers, radome design, satellite communication, and microstrip lines. There is also added coverage of several new topics, including Hall effect, radar equation and scattering cross section, transients in transmission lines, waveguides and circular cavity resonators, wave propagation in the ionosphere, and helical antennas. New exercises, new problems, and many worked-out examples make this complex material more accessible to students.","https://images-na.ssl-images-amazon.com/images/I/31irONYJdrL._SX381_BO1,204,203,200_.jpg"
Radio and Radar Astronomy Projects for Beginners (The Patrick Moore Practical Astronomy Series),Steven Arnold,3030549054,978-3030549053,Engineering,"Radio and radar astronomy are powerful tools when studying the wonders of the universe, yet they tend to mystify amateur astronomers. This book provides a comprehensive introduction to newcomers, containing everything you need to start observing at radio wavelengths.
Written by a mechanical engineer who has actually built and operated the tools described, the book contains a plethora of tested advice and practical resources. This revised edition of the original 2014 book Getting Started in Radio Astronomy provides a complete overview of the latest technology and research, including the newest models and equipment on the market as well as an entirely new section on radio astronomy with software-defined radios (SDRs). 

Four brand-new beginner projects are included, including bouncing a radar signal off the Moon, detecting the aurora, and tuning into the downlink radio used by astronauts aboard the ISS. Requiring no previous knowledge, no scary mathematics, and no expensive equipment, the book will serve as a fun and digestible reference for any level of astronomers hoping to expand their skills into the radio spectrum.","https://images-na.ssl-images-amazon.com/images/I/41dn-+0wBBL._SX328_BO1,204,203,200_.jpg"
EMI Filter Design,"Richard Lee Ozenbaugh, Timothy M. Pullen",1138074071,978-1138074071,Engineering,"With today’s electrical and electronics systems requiring increased levels of performance and reliability, the design of robust EMI filters plays a critical role in EMC compliance. Using a mix of practical methods and theoretical analysis, EMI Filter Design, Third Edition presents both a hands-on and academic approach to the design of EMI filters and the selection of components values. The design approaches covered include matrix methods using table data and the use of Fourier analysis, Laplace transforms, and transfer function realization of LC structures. This edition has been fully revised and updated with additional topics and more streamlined content.
New to the Third Edition

Analysis techniques necessary for passive filter realization
Matrix method and transfer function analysis approaches for LC filter structure design
A more hands-on look at EMI filters and the overall design process
Through this bestselling book’s proven design methodology and practical application of formal techniques, readers learn how to develop simple filter solutions. The authors examine the causes of common- and differential-mode noise and methods of elimination, the source and load impedances for various types of input power interfaces, and the load impedance aspect of EMI filter design. After covering EMI filter structures, topologies, and components, they provide insight into the sizing of components and protection from voltage transients, discuss issues that compromise filter performance, and present a goal for a filter design objective. The text also includes a matrix method for filter design, explains the transfer function method of LC structures and their equivalent polynomials, and gives a circuit design example and analysis techniques. The final chapter presents packaging solutions of EMI filters.","https://images-na.ssl-images-amazon.com/images/I/41GjK4kLddL._SX348_BO1,204,203,200_.jpg"
Understanding Electromagnetic Waves,,3030457109,978-3030457105,Engineering,"This one-semester textbook teaches students Electromagnetic Waves, via an early introduction to Maxwell’s Equations in the first chapter. Mathematics fundamentals are used as needed, but rigor is de-emphasized in preference to understanding the basic ideas and principles of EM waves. Each chapter includes extensive, step-by-step, solved examples, as well as abundant exercises.

• Designed for a one-semester course in electromagnetic waves; 
• Introduces Maxwell’s equations in the first chapter; 
• De-emphasizes mathematical rigor in order to make key ideas and principles easy to understand; 
• Makes material accessible to readers of varying backgrounds, with extensive use of solved examples; 
• Includes abundant exercises for each chapter. ","https://images-na.ssl-images-amazon.com/images/I/31kxGyD3XaS._SX328_BO1,204,203,200_.jpg"
Fundamentals of Microwave and RF Design,Michael Steer,1469656884,978-1469656885,Engineering,"Fundamentals of Microwave and RF Design enables mastery of the essential concepts required to cross the barriers to a successful career in microwave and RF design. Extensive treatment of scattering parameters, that naturally describe power flow, and of Smith-chart-based design procedures prepare the student for success. The emphasis is on design at the module level and on covering the whole range of microwave functions available. The orientation is towards using microstrip transmission line technologies and on gaining essential mathematical, graphical and design skills for module design proficiency. This book is derived from a multi volume comprehensive book series, Microwave and RF Design, Volumes 1-5 , with the emphasis in this book being on presenting the fundamental materials required to gain entry to RF and microwave design. This book closely parallels the companion series that can be consulted for in-depth analysis with referencing of the book series being familiar and welcoming.Key Features* A companion volume to a comprehensive series on microwave and RF design* Open access ebook editions are hosted by NC State University Libraries at https: //repository.lib.ncsu.edu/handle/1840.20/36776* 59 worked examples* An average of 24 exercises per chapter* Answers to selected exercises* Emphasis on module-level design using microstrip technologies* Extensive treatment of design using Smith charts* A parallel companion book series provides a detailed reference resource","https://images-na.ssl-images-amazon.com/images/I/51taD5xyexL._SX384_BO1,204,203,200_.jpg"
"Microwave and RF Design, Volume 4: Modules Third Edition",Michael Steer,1469656965,978-1469656960,Engineering,"Microwave and RF Design: Modules focuses on the design of systems based on microwave modules. The use of modules has become increasingly important in RF and microwave engineering for rapidly realizing high performance microwave systems. When integration is ultimately to be used, building a system up using modules provides a rapid means of prototyping and testing system concepts. A wide variety of RF modules including amplifiers, local oscillators, switches, circulators, isolators, phase detectors, frequency multipliers and dividers, phase-locked loops, and direct digital synthesizers are considered. Detailed design strategies for synthesizing filters based on parallel coupled lines are presented. The reader will gain an appreciation of design by synthesis. This book is suitable as both an undergraduate and graduate textbook, as well as a career-long reference book.Key Features* The fourth volume of a comprehensive series on microwave and RF design* Open access ebook editions are hosted by NC State University Libraries at https: //repository.lib.ncsu.edu/handle/1840.20/36776* 23 worked examples* An average of 21 exercises per chapter* Answers to selected exercises* 6 case studies illustrating design procedures* Emphasis on synthesis as well as building a rich library of microwave functions* A companion book, Fundamentals of Microwave and RF Design, is suitable as a comprehensive undergraduate textbook on microwave engineering","https://images-na.ssl-images-amazon.com/images/I/51+xyJa-l9L._SX384_BO1,204,203,200_.jpg"
"Microwave and RF Design, Volume 2: Transmission Lines Third Edition",Michael Steer,1469656922,978-1469656922,Engineering,"Microwave and RF Design: Transmission Lines builds on the concepts of forward- and backward-traveling waves. Many examples are included of advanced techniques for analyzing and designing transmission line networks with microstrip lines primarily used in design examples. Coupled-lines are an important functional element in microwave circuits, and circuit equivalents of coupled lines are introduced as fundamental building blocks in design. The text and examples introduce the often hidden design requirements of mitigating parasitic effects and eliminating unwanted modes of operation. This book is suitable as both an undergraduate and graduate textbook, as well as a career-long reference book.Key Features* The second volume of a comprehensive series on microwave and RF design* Open access ebook editions are hosted by NC State University Libraries at https: //repository.lib.ncsu.edu/handle/1840.20/36776* 56 worked examples* An average of 31 exercises per chapter* Answers to selected exercises* Focus on planar lines including microstrip* A companion book, Fundamentals of Microwave and RF Design, is suitable as a comprehensive undergraduate textbook on microwave engineering","https://images-na.ssl-images-amazon.com/images/I/51ywkIsK8uL._SX384_BO1,204,203,200_.jpg"
RF Power Semiconductor Generator Application in Heating and Energy Utilization,"Satoshi Horikoshi (Editor), Nick Serpone (Editor)",9811535507,978-9811535505,Engineering,"This is a specialized book for researchers and technicians of universities and companies who are interested in the fundamentals of RF power semiconductors, their applications and market penetration. Looking around, we see that products using vacuum tube technology are disappearing. For example, branch tube TVs have changed to liquid crystal TVs, and fluorescent light have turned into LED. The switch from vacuum tube technology to semiconductor technology has progressed remarkably. At the same time, high-precision functionalization, miniaturization and energy saving have advanced. On the other hand, there is a magnetron which is a vacuum tube device for generating microwaves. However, even this vacuum tube technology has come to be replaced by RF power semiconductor technology. In the last few years the price of semiconductors has dropped sharply and its application to microwave heating and energy fields will proceed. In some fields the transition from magnetron microwave oscillator to semiconductor microwave oscillator has already begun. From now on this development will progress remarkably. Although there are several technical books on electrical systems that explain RF power semiconductors, there are no books yet based on users' viewpoints on actual microwave heating and energy fields. In particular, none have been written about exact usage and practical cases, to answer questions such as ""What are the advantages and disadvantages of RF power semiconductor oscillator?"", ""What kind of field can be used?"" and the difficulty of the market and application. Based on these issues, this book explains the RF power semiconductors from the user's point of view by covering a very wide range of fields.","https://images-na.ssl-images-amazon.com/images/I/41ofdvyrlUL._SX328_BO1,204,203,200_.jpg"
An Introduction to Metamaterials and Waves in Composites,Biswajit Banerjee,367576961,978-0367576967,Engineering,"Requiring no advanced knowledge of wave propagation, An Introduction to Metamaterials and Waves in Composites focuses on theoretical aspects of metamaterials, periodic composites, and layered composites. The book gives novices a platform from which they can start exploring the subject in more detail.

After introducing concepts related to elasticity, acoustics, and electrodynamics in media, the text presents plane wave solutions to the equations that describe elastic, acoustic, and electromagnetic waves. It examines the plane wave expansion of sources as well as scattering from curved interfaces, specifically spheres and cylinders. The author then covers electrodynamic, acoustic, and elastodynamic metamaterials. He also describes examples of transformations, aspects of acoustic cloaking, and applications of pentamode materials to acoustic cloaking. With a focus on periodic composites, the text uses the Bloch-Floquet theorem to find the effective behavior of composites in the quasistatic limit, presents the quasistatic equations of elastodynamic and electromagnetic waves, and investigates Brillouin zones and band gaps in periodic structures. The final chapter discusses wave propagation in smoothly varying layered media, anisotropic density of a periodic layered medium, and quasistatic homogenization of laminates.

This book provides a launch pad for research into elastic and acoustic metamaterials. Many of the ideas presented have yet to be realized experimentally-the book encourages readers to explore these ideas and bring them to technological maturity.","https://images-na.ssl-images-amazon.com/images/I/41GNBZFIlML._SX331_BO1,204,203,200_.jpg"
Phase Noise and Frequency Stability in Oscillators (The Cambridge RF and Microwave Engineering Series) 1st Edition,Enrico Rubiola,052115328X,978-0521153287,Engineering,"Presenting a comprehensive account of oscillator phase noise and frequency stability, this practical text is both mathematically rigorous and accessible. An in-depth treatment of the noise mechanism is given, describing the oscillator as a physical system, and showing that simple general laws govern the stability of a large variety of oscillators differing in technology and frequency range. Inevitably, special attention is given to amplifiers, resonators, delay lines, feedback, and flicker (1/f) noise. The reverse engineering of oscillators based on phase-noise spectra is also covered, and end-of-chapter exercises are given. Uniquely, numerous practical examples are presented, including case studies taken from laboratory prototypes and commercial oscillators, which allow the oscillator internal design to be understood by analyzing its phase-noise spectrum. Based on tutorials given by the author at the Jet Propulsion Laboratory, international IEEE meetings, and in industry, this is a useful reference for academic researchers, industry practitioners, and graduate students in RF engineering and communications engineering.","https://images-na.ssl-images-amazon.com/images/I/51E3W5XF7WL._SX346_BO1,204,203,200_.jpg"
Introduction to Magnetism and Magnetic Materials 3rd Edition,David Jiles,9.78E+12,978-1482238877,Engineering," long overdue update, this edition of Introduction to Magnetism and Magnetic Materials is a complete revision of its predecessor. While it provides relatively minor updates to the first two sections, the third section contains vast updates to reflect the enormous progress made in applications in the past 15 years, particularly in magnetic recording. The book includes significant updates to soft magnetic materials, hard magnetic materials, magnetic data storage, and magnetic evaluation of materials. It also adds new information on magneto-transport, small particles, nanomagnetism, magnetic semiconductors, spintronics, and high-frequency magnetism.

See What's New in the Third Edition

New coverage of applications of magnetism and magnetic materials, especially in magnetic recording
Additional exercises with complete worked-out solutions at the end of the book
Updated references at the end of each chapter
The book adopts an unusual but effectively focused question-answer framework. Each major head is introduced by a question followed by an attempt to answer. This approach maintains attention to the subject matter at hand and clarifies the objective of each section without needless digression. Each chapter also features updated and new exercise problems, accompanied by a solutions manual at the back of the book. This edition gives you an excellent introduction to the key and current theories, practices, and applications of magnetics and magnetic materials.","https://images-na.ssl-images-amazon.com/images/I/413SIWdgK8L._SX329_BO1,204,203,200_.jpg"
"Commercial Space Technologies and Applications: Communication, Remote Sensing, GPS, and Meteorological Satellites, Second Edition 2nd Edition",Mohammad Razani,367656337,978-0367656331,Engineering,"This new edition introduces and examines the space technologies that benefit our everyday lives. Each chapter now includes exercises and problems, and the content covers new satellites and emerging technologies. It explores the ever-improving quality of satellite systems and services, and also investigates ways to bring about higher resolution satellite imagery and lower satellite costs. The focus is on man-made satellites, which are becoming smaller, smarter, cheaper, and easier to launch, having a longer life span, and are less susceptible to interference. Furthermore, the book considers advances in several key technologies that affect the satellite industry.

Includes extensive study questions and exercises after each chapter.
Explains present commercial space technology and its future outlook.
Explores the many applications of space technologies and their impact on our lives, including real world examples.
Presents a future outlook on robotics, communications and navigation, and human health and nanotechnology.
Provides a clear understanding of space, space technologies, space applications, space security, space regulations, a space roadmap, and their impact on the lives of humans now and for generations to come.","https://images-na.ssl-images-amazon.com/images/I/41vHF7t4P8L._SX313_BO1,204,203,200_.jpg"
The Electronics of Radio 1st Edition,David Rutledge,521646456,978-0521646451,Engineering,"This innovative book provides a stimulating introduction to analog electronics by analyzing the design and construction of a radio transceiver. The author provides essential theoretical background at each step, along with carefully designed laboratory and homework exercises. This structured approach ensures a good grasp of basic electronics as well as an excellent foundation in wireless communications systems. The author begins with a thorough description of basic electronic components and simple circuits. He then describes the key elements of radio electronics, including filters, amplifiers, oscillators, mixers, and antennas. In the laboratory exercises, he leads the reader through the design, construction, and testing of a popular radio transceiver (the NorCal 40A), thereby illustrating and reinforcing the theoretical material. A diskette containing the widely known circuit simulation software, Puff, is included in the book. This book, the first to deal with elementary electronics in the context of radio, can be used as a textbook for introductory analog electronics courses, or for more advanced undergraduate classes on radio-frequency electronics. It will also be of great interest to electronics hobbyists and radio enthusiasts.","https://images-na.ssl-images-amazon.com/images/I/51OawcsM2GL._SX346_BO1,204,203,200_.jpg"
The New Jim Crow (Mass Incarceration in the Age of Colorblindness - 10th Anniversary Edition),Michelle Alexander,1620971933,978-1620971932,Law,"Named one of the most important nonfiction books of the 21st century by Entertainment Weekly, Slate, Chronicle of Higher Education, Literary Hub, Book Riot, and Zora A tenth-anniversary edition of the iconic bestseller--""one of the most influential books of the past 20 years,"" according to the Chronicle of Higher Education--with a new preface by the author ""It is in no small part thanks to Alexander's account that civil rights organizations such as Black Lives Matter have focused so much of their energy on the criminal justice system."" --Adam Shatz, London Review of Books Seldom does a book have the impact of Michelle Alexander's The New Jim Crow. Since it was first published in 2010, it has been cited in judicial decisions and has been adopted in campus-wide and community-wide reads; it helped inspire the creation of the Marshall Project and the new 100 million Art for Justice Fund; it has been the winner of numerous prizes, including the prestigious NAACP Image Award; and it has spent nearly 250 weeks on the New York Times bestseller list. Most important of all, it has spawned a whole generation of criminal justice reform activists and organizations motivated by Michelle Alexander's unforgettable argument that ""we have not ended racial caste in America; we have merely redesigned it."" As the Birmingham News proclaimed, it is ""undoubtedly the most important book published in this century about the U.S."" Now, ten years after it was first published, The New Press is proud to issue a tenth-anniversary edition with a new preface by Michelle Alexander that discusses the impact the book has had and the state of the criminal justice reform movement today.","https://images-na.ssl-images-amazon.com/images/I/51nZ5MqeM8L._SX327_BO1,204,203,200_.jpg"
Mindhunter: Inside the FBI's Elite Serial Crime Unit,"John E. Douglas, Mark Olshaker",1501191969,978-1501191961,Law,"Now a Netflix original series Discover the classic, behind-the-scenes chronicle of John E. Douglas' twenty-five-year career in the FBI Investigative Support Unit, where he used psychological profiling to delve into the minds of the country's most notorious serial killers and criminals. In chilling detail, the legendary Mindhunter takes us behind the scenes of some of his most gruesome, fascinating, and challenging cases--and into the darkest recesses of our worst nightmares. During his twenty-five year career with the Investigative Support Unit, Special Agent John Douglas became a legendary figure in law enforcement, pursuing some of the most notorious and sadistic serial killers of our time: the man who hunted prostitutes for sport in the woods of Alaska, the Atlanta child murderer, and Seattle's Green River killer, the case that nearly cost Douglas his life. As the model for Jack Crawford in The Silence of the Lambs , Douglas has confronted, interviewed, and studied scores of serial killers and assassins, including Charles Manson, Ted Bundy, and Ed Gein, who dressed himself in his victims' peeled skin. Using his uncanny ability to become both predator and prey, Douglas examines each crime scene, reliving both the killer's and the victim's actions in his mind, creating their profiles, describing their habits, and predicting their next moves.","https://images-na.ssl-images-amazon.com/images/I/512qZ+BCKEL._SX331_BO1,204,203,200_.jpg"
Breaking Blue: Real Life Stories of Cops Falsely Accused,"Sean ""Sticks"" Larkin, Mike Lewis (With)",1950840077,978-1950840076,Law,"Body cams and dashcams have fundamentally transformed law enforcement in recent years. These innovations can help prove someone committed a crime, or didn't. Real-life footage has cleared people initially accused of wrongdoing, and in certain instances even implicated officers. But that same type of footage can also be used to clear police falsely accused of misdeeds. From allegations of harassment or bias to false arrests or even criminal conduct, these videos can prove officers did not cross a line as sometimes they are alleged to have done. Breaking Blue is the first book that shares real stories of cops accused of wrongdoing and subsequently cleared. Charges may have been brought against them, Internal Affairs may have started an investigation, but in many cases, thanks to the officer's body cam or dashcam videos, the true story came to light, with charges ultimately dismissed or initial convictions overturned. Sergeant Sean ""Sticks"" Larkin of the Tulsa Police Department Gang Unit and host of A&E show Live PD , presents real stories of officers falsely accused. . .. including his own. Now, we can finally get both sides of the story for citizens and the police officers hired to serve and protect.","https://images-na.ssl-images-amazon.com/images/I/51akhZ9cWGL._SX331_BO1,204,203,200_.jpg"
Emotional survival for law enforcement: A guide for officers and their families,Kevin M Gilmartin,971725403,978-0971725409,Law,"Addresses the dynamics that can transform within a matter of a few years, idealistic and committed law enforcement officers/employees into cynical, angry individuals who begin having difficulties in both the personal and professional aspects of their lives. It points out how law enforcement personnel develop a social perceptual set that can potentially see employees engaging in inappropriate behavior patterns and decision-making that leads to both administrative and can unfortunately in some personnel lead to criminal difficulties. The basic theme and goal of the book is to provide information that lets the officer/employee see how the deterioration process can take place and what specific preventative strategies can be employed to reduce the negative emotional impact of a law enforcement career. The book was written with the goal to provide information that assists law enforcement personnel to remain committed and engaged in productive law enforcement.","https://images-na.ssl-images-amazon.com/images/I/51w2YGwVXOL._SX352_BO1,204,203,200_.jpg"
Understanding Criminal Law,Joshua Dressler,1531007910,978-1531007911,Law,"This book deals exclusively with substantive criminal law, with primary attention given to the elements of individual criminal responsibility. It is authoritative, current, highly readable, and widely used at law schools throughout the nation.
Coverage focuses on the basic elements of, and defenses to, specific crimes, such as homicide, rape, and theft, as well as group criminality and inchoate liability. The common law is emphasized, with extensive comparisons to the Model Penal Code and thoughtful examination of the underpinnings of the utilitarian philosophies of substantive criminal law. The text encourages students to consider the approach these philosophies would take to a particular matter under discussion, thus providing an excellent learning tool for gaining a firm understanding of how our criminal justice system works.","https://images-na.ssl-images-amazon.com/images/I/51fXYFYaFbL._SX346_BO1,204,203,200_.jpg"
Criminal Procedure: Investigation / Edition 3,"Erwin Chemerinsky, Laurie L. Levenson",1454882999,978-1454882992,Law,"Focusing on the investigation phase of criminal procedure, Criminal Procedure: Investigation combines Laurie L. Levenson’s first-hand experience in the criminal justice system with Erwin Chemerinsky’s student-friendly writing style. The Third Edition examines the impact of a host of recent developments in the courts and legislature on the process investigating crime. It eschews reliance on rhetorical questions and law review excerpts in favor of comprehensive exploration of black letter law and trendsetting policy issues. The book utilizes a chronological approach that guides students through criminal procedure doctrine from rules governing law enforcement investigation to matters related to habeas corpus relief. In addition to presenting the perspectives from various stakeholders, the authors take care to provide students with useful, practice-oriented materials. Criminal Procedure: Investigation not only employs a systemic approach that takes students through issues from policy to application of legal doctrine but also introduces issues at the forefront of modern criminal procedure debates.
Key Features:

Straightforward writing style and clear, dynamic text that is uncluttered with law review excerpts and features thoughtfully edited principal and minor cases.
Intuitive chronological presentation of topics.
Systematic and cohesive exploration of policy on every issue, before moving on to the specifics of doctrine.
Practice-oriented features and discussion of important, modern criminal procedure issues.
Approachable organization based on common progression through criminal justice system.
Straight writing style that relies on cases and author essays rather than law review excerpts and strict Socratic rhetoric questions.
Practice-oriented features, discussion of modern policy issues, useful example documents for practitioners.
Useful examples for future and current criminal law practitioners.","https://images-na.ssl-images-amazon.com/images/I/41U+wYh42AL._SX367_BO1,204,203,200_.jpg"
Federal Rules of Evidence; 2021 Edition: With Internal Cross-References,Michigan Legal Publishing Ltd.,164002090X,978-1640020900,Law,"A handy pocket version of the Federal Rules of Evidence (5"" x 8""), as amended through January 1, 2021. A Perfect quick reference for your desk or briefcase, for both attorneys and law school students. Incudes internal rules cross-references for ease of use. Perfect as a supplement for any casebook.

Contents:
Article 1; General Provisions
Article 2; Judicial Notice
Article 3; Presumptions in Civil Cases
Article 4; Relevance and its Limits
Article 5; Privileges
Article 6; Witnesses
Article 7; Opinions and Expert Testimony
Article 8; Hearsay
Article 9; Authentication and Identification
Article 10; Contents of Writings, Recordings, and Photographs
Article 11; Miscellaneous Rules","https://images-na.ssl-images-amazon.com/images/I/41EV25sCnDL._SX311_BO1,204,203,200_.jpg"
Federal Rules of Civil Procedure; 2021 Edition: With Statutory Supplement,Michigan Legal Publishing Ltd.,1640020918,978-1640020917,Law,"A concise and comprehensive edition of the Federal Rules of Civil Procedure and related selected statutes for quick reference. Updated through January 1, 2021. Perfect for your briefcase or desk and a great format for the attorney or law school student who simply needs to refer to the rules. Supplement for all casebooks.

Contents:

Federal Rules of Civil Procedure
Title I. Scope of rules; form of action
Title II. Commencing an action; service of process, pleadings, motions, and orders
Title III. Pleadings and motions
Title IV. Parties
Title V. Disclosures and discovery
Title VI. Trials
Title VII. Judgment
Title VIII. Provisional and final remedies
Title IX. Special proceedings
Title X. District courts and clerks: conducting business; issuing orders
Title XI. General provisions
Title XII. Appendix of forms (abrogated)
Title XIII. Supplemental Rules for Admiralty or Maritime Claims and Asset Forfeiture Actions

Statutory Supplement
28 USC Chapter 85—District Courts; Jurisdiction
28 USC Chapter 87—District Courts; Venue
28 USC Chapter 91—District Courts; Removal of Cases from State Courts","https://images-na.ssl-images-amazon.com/images/I/41371eGX2vL._SX322_BO1,204,203,200_.jpg"
Federal Rules of Criminal Procedure; 2021 Edition,Michigan Legal Publishing Ltd.,1640020942,978-1640020948,Law,"A concise and comprehensive edition of the Federal Rules of Criminal Procedure for quick reference. Updated through January 1, 2021. Perfect for your briefcase or desk and a great format for the attorney or law school student who simply needs to refer to the rules. A perfect supplement for any casebook.

Contents:
Title I – Applicability
Title II – Preliminary Proceedings
Title III – The Grand Jury, the Indictment, and the Information
Title IV – The Arraignment and Preparation for Trial
Title V – Venue
Title VI – Trial
Title VII – Post-Conviction Procedures
Title VIII – Supplementary and Special Proceedings
Title IX – General Provisions","https://images-na.ssl-images-amazon.com/images/I/41awQyJeFuL._SX311_BO1,204,203,200_.jpg"
Federal Rules of Appellate Procedure; 2021 Edition: With Appendix of Length Limits and Official Forms,Michigan Legal Publishing Ltd.,1640020969,978-1640020962,Law,"A handy pocket version of the Federal Rules of Appellate Procedure (5.5"" x 8.5""), as amended through January 1, 2021. A Perfect quick reference for your desk or briefcase, for both attorneys and law school students. Supplement for all casebooks.","https://images-na.ssl-images-amazon.com/images/I/41lbHgSXTsL._SX322_BO1,204,203,200_.jpg"
"Federal Rules of Civil Procedure; 2021 Edition (Casebook Supplement): With Advisory Committee Notes, Selected Statutes, and Official Forms",Michigan Legal Publishing Ltd.,1640020926,978-1640020924,Law,"Federal Rules of Civil Procedure (2021 Edition) with the full Advisory Committee Notes, selected statutes (venue and jurisdiction of federal district courts, along with removal from state courts), and all official forms for civil suits in federal district courts.","https://images-na.ssl-images-amazon.com/images/I/41a-Iq8+mRS._SX398_BO1,204,203,200_.jpg"
